timestamps,X,Y,Z
1741743545.084,0.330,0.146,-0.942
1741743545.143,0.328,0.147,-0.942
1741743545.143,0.332,0.145,-0.941
1741743545.143,0.335,0.145,-0.939
1741743545.189,0.331,0.148,-0.945
1741743545.189,0.331,0.150,-0.941
1741743545.189,0.331,0.151,-0.939
1741743545.251,0.331,0.149,-0.941
1741743545.251,0.335,0.147,-0.938
1741743545.251,0.332,0.149,-0.937
1741743545.309,0.330,0.147,-0.943
1741743545.309,0.330,0.145,-0.941
1741743545.309,0.331,0.150,-0.940
1741743545.368,0.330,0.146,-0.945
1741743545.368,0.331,0.147,-0.942
1741743545.368,0.334,0.146,-0.942
1741743545.414,0.332,0.147,-0.941
1741743545.414,0.330,0.147,-0.939
1741743545.414,0.337,0.144,-0.941
1741743545.474,0.331,0.143,-0.940
1741743545.474,0.334,0.150,-0.941
1741743545.474,0.330,0.147,-0.944
1741743545.533,0.334,0.146,-0.939
1741743545.533,0.329,0.143,-0.943
1741743545.533,0.336,0.144,-0.943
1741743545.593,0.330,0.151,-0.944
1741743545.593,0.333,0.143,-0.940
1741743545.593,0.333,0.145,-0.940
1741743545.638,0.329,0.144,-0.941
1741743545.638,0.332,0.144,-0.944
1741743545.638,0.334,0.147,-0.942
1741743545.699,0.329,0.149,-0.945
1741743545.699,0.332,0.150,-0.940
1741743545.699,0.335,0.146,-0.940
1741743545.758,0.331,0.148,-0.938
1741743545.758,0.334,0.147,-0.944
1741743545.758,0.334,0.151,-0.940
1741743545.807,0.332,0.147,-0.941
1741743545.807,0.335,0.146,-0.938
1741743545.807,0.331,0.146,-0.939
1741743545.864,0.327,0.148,-0.942
1741743545.864,0.336,0.144,-0.938
1741743545.864,0.330,0.146,-0.940
1741743545.926,0.333,0.148,-0.940
1741743545.926,0.330,0.149,-0.936
1741743545.926,0.332,0.146,-0.942
1741743545.984,0.331,0.146,-0.942
1741743545.984,0.334,0.147,-0.944
1741743545.984,0.329,0.146,-0.942
1741743546.044,0.332,0.148,-0.936
1741743546.044,0.332,0.144,-0.943
1741743546.044,0.332,0.150,-0.943
1741743546.092,0.337,0.147,-0.941
1741743546.092,0.329,0.150,-0.941
1741743546.092,0.331,0.147,-0.942
1741743546.149,0.327,0.144,-0.940
1741743546.149,0.336,0.146,-0.943
1741743546.149,0.332,0.146,-0.940
1741743546.208,0.332,0.145,-0.939
1741743546.208,0.331,0.148,-0.942
1741743546.208,0.332,0.147,-0.940
1741743546.269,0.331,0.147,-0.939
1741743546.269,0.330,0.144,-0.943
1741743546.269,0.332,0.143,-0.941
1741743546.331,0.335,0.144,-0.944
1741743546.331,0.335,0.146,-0.940
1741743546.331,0.334,0.145,-0.942
1741743546.392,0.332,0.145,-0.942
1741743546.392,0.334,0.147,-0.940
1741743546.392,0.331,0.146,-0.941
1741743546.434,0.336,0.143,-0.943
1741743546.434,0.330,0.145,-0.943
1741743546.434,0.330,0.147,-0.940
1741743546.494,0.331,0.145,-0.942
1741743546.494,0.333,0.147,-0.941
1741743546.494,0.328,0.149,-0.941
1741743546.554,0.332,0.148,-0.942
1741743546.554,0.332,0.145,-0.941
1741743546.554,0.333,0.145,-0.942
1741743546.602,0.337,0.147,-0.944
1741743546.602,0.330,0.145,-0.940
1741743546.602,0.331,0.145,-0.943
1741743546.659,0.334,0.151,-0.941
1741743546.659,0.331,0.148,-0.945
1741743546.659,0.330,0.148,-0.940
1741743546.718,0.332,0.148,-0.942
1741743546.718,0.329,0.145,-0.937
1741743546.718,0.333,0.147,-0.944
