timestamps,TP9,AF7,AF8,TP10,Right AUX
1741724736.033,-944.824,-937.988,-785.156,-937.012,0.000
1741724736.037,-1000.000,-1000.000,-885.254,-1000.000,0.000
1741724736.041,-848.633,-768.555,-653.809,-735.352,0.000
1741724736.045,562.012,662.109,-263.184,690.430,0.000
1741724736.049,999.512,999.512,-365.234,999.512,0.000
1741724736.052,902.832,905.762,-252.930,907.715,0.000
1741724736.056,981.934,984.375,470.703,983.887,0.000
1741724736.060,969.727,970.215,655.273,970.215,0.000
1741724736.064,969.727,970.215,221.191,970.215,0.000
1741724736.068,969.727,970.703,-145.996,970.703,0.000
1741724736.072,969.727,970.215,95.703,970.215,0.000
1741724736.076,969.727,970.215,772.949,970.215,0.000
1741724736.080,969.727,970.215,898.438,970.215,0.000
1741724736.084,969.727,970.215,801.270,970.703,0.000
1741724736.088,969.727,970.215,898.926,970.703,0.000
1741724736.091,969.727,970.703,937.500,970.215,0.000
1741724736.095,969.727,970.215,949.707,970.215,0.000
1741724736.099,969.727,970.703,968.750,970.703,0.000
1741724736.103,969.727,970.703,971.191,970.215,0.000
1741724736.107,969.727,970.215,968.750,970.215,0.000
1741724736.111,970.215,971.191,972.656,970.215,0.000
1741724736.115,970.703,968.750,965.820,984.375,0.000
1741724736.119,906.738,910.645,951.660,902.832,0.000
1741724736.123,999.512,999.512,961.914,999.512,0.000
1741724736.127,188.965,152.832,962.891,614.258,0.000
1741724736.131,-1000.000,-1000.000,967.773,-810.059,0.000
1741724736.134,-983.887,-979.004,742.676,-1000.000,0.000
1741724736.138,-973.145,-975.586,496.094,-942.383,0.000
1741724736.142,-1000.000,-1000.000,515.137,-1000.000,0.000
1741724736.146,-1000.000,-1000.000,765.625,-1000.000,0.000
1741724736.150,-1000.000,-1000.000,846.191,-1000.000,0.000
1741724736.154,-1000.000,-1000.000,427.734,-1000.000,0.000
1741724736.158,-1000.000,-1000.000,359.375,-1000.000,0.000
1741724736.162,-1000.000,-1000.000,439.941,-1000.000,0.000
1741724736.166,-1000.000,-1000.000,-41.992,-1000.000,0.000
1741724736.170,-1000.000,-1000.000,-432.617,-1000.000,0.000
1741724736.173,-1000.000,-1000.000,-61.523,-1000.000,0.000
1741724736.177,-1000.000,-1000.000,144.043,-1000.000,0.000
1741724736.181,-1000.000,-1000.000,-94.238,-1000.000,0.000
1741724736.185,-1000.000,-1000.000,-265.137,-1000.000,0.000
1741724736.189,-1000.000,-1000.000,-265.625,-1000.000,0.000
1741724736.193,-1000.000,-1000.000,188.965,-1000.000,0.000
1741724736.197,-1000.000,-1000.000,236.816,-1000.000,0.000
1741724736.201,-1000.000,-1000.000,-126.465,-1000.000,0.000
1741724736.205,-969.238,-940.918,37.109,-967.773,0.000
1741724736.209,-993.164,-1000.000,124.512,-997.070,0.000
1741724736.213,-1000.000,-797.852,206.543,-1000.000,0.000
1741724736.216,236.816,620.605,62.012,254.883,0.000
1741724736.220,999.512,999.512,-229.980,999.512,0.000
1741724736.224,905.762,905.273,218.262,907.227,0.000
1741724736.228,972.168,983.398,597.656,973.145,0.000
1741724736.232,970.215,970.703,416.016,970.703,0.000
1741724736.236,969.727,970.215,504.395,970.215,0.000
1741724736.240,969.727,970.215,840.332,970.215,0.000
1741724736.244,969.727,970.215,999.512,970.215,0.000
1741724736.248,969.727,970.215,877.930,970.215,0.000
1741724736.252,969.727,970.703,780.762,970.703,0.000
1741724736.255,969.727,970.703,854.492,970.703,0.000
1741724736.259,969.727,970.215,944.824,970.215,0.000
1741724736.263,969.727,970.215,970.703,970.215,0.000
1741724736.267,970.215,970.215,914.551,970.215,0.000
1741724736.271,969.727,970.215,929.688,970.703,0.000
1741724736.275,969.727,970.703,993.164,970.215,0.000
