timestamps,PPG1,PPG2,PPG3,Secondary Timestamp (Base),Secondary Timestamp (Remainder)
1741750490.538,31936.000,25187.000,30.000,93909.625,-0.002
1741750490.538,31934.000,25178.000,31.000,93909.625,-0.002
1741750490.538,31909.000,25174.000,32.000,93909.625,-0.002
1741750490.538,31928.000,25141.000,32.000,93909.625,-0.001
1741750490.538,31910.000,25130.000,33.000,93909.625,-0.001
1741750490.538,31923.000,25152.000,53.000,93909.625,-0.001
1741750490.643,31926.000,25182.000,44.000,93909.727,0.002
1741750490.643,31914.000,25110.000,56.000,93909.727,0.002
1741750490.643,31842.000,25162.000,54.000,93909.727,0.002
1741750490.643,31901.000,25114.000,33.000,93909.727,0.002
1741750490.643,31900.000,25147.000,56.000,93909.727,0.002
1741750490.643,31813.000,25160.000,37.000,93909.727,0.002
1741750490.733,31908.000,25141.000,39.000,93909.820,-0.002
1741750490.733,31896.000,25158.000,65.000,93909.820,-0.002
1741750490.733,31905.000,25227.000,27.000,93909.820,-0.002
1741750490.733,31893.000,25171.000,31.000,93909.820,-0.002
1741750490.733,31951.000,25155.000,41.000,93909.820,-0.002
1741750490.733,31914.000,25183.000,24.000,93909.820,-0.002
1741750490.823,31903.000,25156.000,30.000,93909.906,0.003
1741750490.823,31984.000,25131.000,31.000,93909.906,0.003
1741750490.823,31898.000,25154.000,39.000,93909.906,0.003
1741750490.823,31930.000,25149.000,30.000,93909.906,0.003
1741750490.823,31926.000,25146.000,39.000,93909.906,0.003
1741750490.823,31931.000,25160.000,88.000,93909.906,0.003
1741750490.914,31905.000,25156.000,28.000,93910.000,-0.001
1741750490.914,31903.000,25141.000,51.000,93910.000,-0.001
1741750490.914,31907.000,25154.000,80.000,93910.000,-0.001
1741750490.914,31889.000,25183.000,30.000,93910.000,-0.001
1741750490.914,31907.000,25195.000,56.000,93910.000,-0.001
1741750490.914,31871.000,25159.000,40.000,93910.000,-0.001
1741750491.019,31912.000,25151.000,36.000,93910.102,0.003
1741750491.019,31907.000,25154.000,27.000,93910.102,0.003
1741750491.019,31936.000,25181.000,31.000,93910.102,0.003
1741750491.019,31909.000,25146.000,33.000,93910.102,0.003
1741750491.019,31928.000,25164.000,26.000,93910.102,0.003
1741750491.019,31946.000,25148.000,30.000,93910.102,0.003
1741750491.108,31957.000,25156.000,52.000,93910.195,-0.001
1741750491.108,31970.000,25160.000,32.000,93910.195,-0.001
1741750491.108,31910.000,25120.000,33.000,93910.195,-0.001
1741750491.108,31903.000,25157.000,50.000,93910.195,-0.001
1741750491.108,31869.000,25161.000,34.000,93910.195,-0.001
1741750491.108,31905.000,25150.000,78.000,93910.195,-0.001
1741750491.198,31850.000,25158.000,44.000,93910.281,0.002
1741750491.198,31915.000,25213.000,43.000,93910.281,0.002
1741750491.198,31899.000,25160.000,67.000,93910.281,0.002
1741750491.198,31919.000,25190.000,32.000,93910.281,0.002
1741750491.198,31913.000,25203.000,30.000,93910.281,0.002
1741750491.198,31910.000,25159.000,31.000,93910.281,0.002
1741750491.288,31878.000,25178.000,30.000,93910.375,-0.001
1741750491.288,31906.000,25154.000,30.000,93910.375,-0.001
1741750491.288,31985.000,25187.000,36.000,93910.375,-0.001
1741750491.288,31874.000,25139.000,28.000,93910.375,-0.001
1741750491.288,31919.000,25160.000,54.000,93910.375,-0.001
1741750491.288,31973.000,25154.000,28.000,93910.375,-0.001
1741750491.394,31878.000,25161.000,45.000,93910.477,0.003
1741750491.394,31859.000,25149.000,65.000,93910.477,0.003
1741750491.394,31914.000,25133.000,26.000,93910.477,0.003
1741750491.394,31898.000,25178.000,38.000,93910.477,0.003
1741750491.394,31846.000,25170.000,23.000,93910.477,0.003
1741750491.394,31895.000,25205.000,46.000,93910.477,0.003
1741750491.483,31921.000,25150.000,35.000,93910.570,-0.001
1741750491.483,31873.000,25213.000,25.000,93910.570,-0.001
1741750491.483,31901.000,25155.000,28.000,93910.570,-0.001
1741750491.483,31942.000,25158.000,21.000,93910.570,-0.001
1741750491.483,31903.000,25189.000,45.000,93910.570,-0.001
1741750491.483,31910.000,25144.000,25.000,93910.570,-0.001
1741750491.573,31914.000,25137.000,36.000,93910.656,0.002
1741750491.573,31913.000,25165.000,30.000,93910.656,0.002
1741750491.573,31942.000,25158.000,70.000,93910.656,0.002
1741750491.573,31903.000,25104.000,34.000,93910.656,0.002
1741750491.573,31904.000,25145.000,92.000,93910.656,0.002
1741750491.573,31864.000,25159.000,30.000,93910.656,0.002
1741750491.663,31916.000,25183.000,33.000,93910.750,-0.001
1741750491.663,31920.000,25162.000,56.000,93910.750,-0.001
1741750491.663,31830.000,25209.000,34.000,93910.750,-0.001
1741750491.663,31899.000,25158.000,50.000,93910.750,-0.001
1741750491.663,31854.000,25179.000,37.000,93910.750,-0.001
1741750491.663,31913.000,25213.000,34.000,93910.750,-0.001
1741750491.768,31902.000,25159.000,31.000,93910.852,0.002
1741750491.768,31942.000,25185.000,28.000,93910.852,0.002
1741750491.768,31907.000,25164.000,31.000,93910.852,0.002
1741750491.768,31958.000,25160.000,30.000,93910.852,0.002
1741750491.768,31927.000,25135.000,25.000,93910.852,0.002
1741750491.768,31901.000,25156.000,56.000,93910.852,0.002
1741750491.858,31929.000,25155.000,35.000,93910.945,-0.002
1741750491.858,31907.000,25092.000,42.000,93910.945,-0.002
1741750491.858,31910.000,25157.000,59.000,93910.945,-0.002
1741750491.858,31851.000,25126.000,32.000,93910.945,-0.002
1741750491.858,31914.000,25163.000,115.000,93910.945,-0.002
1741750491.858,31803.000,25149.000,35.000,93910.945,-0.002
1741750491.949,31907.000,25126.000,38.000,93911.031,0.003
1741750491.949,31897.000,25159.000,68.000,93911.031,0.003
1741750491.949,31887.000,25192.000,20.000,93911.031,0.003
1741750491.949,31909.000,25171.000,38.000,93911.031,0.003
1741750491.949,31905.000,25142.000,36.000,93911.031,0.003
1741750491.949,31930.000,25188.000,38.000,93911.031,0.003
1741750492.039,31907.000,25156.000,37.000,93911.125,-0.000
1741750492.039,31984.000,25156.000,26.000,93911.125,-0.000
1741750492.039,31900.000,25129.000,34.000,93911.125,-0.000
1741750492.039,31906.000,25146.000,27.000,93911.125,-0.000
